DATE,COMNAM,PERMNO,PERMCO
19930208,SECURITY FIRST CORP,11937,9660
19880104,SHORELINE FINANCIAL CORP,11938,9650
19880506,SILK GREENHOUSE INC,11939,9769
19880125,SILK SILK SILK INTL INC,11940,9661
19880419,SPORTS ENTERTAINMENT GROUP INC,11941,9753
19880330,STANDARD FEDERAL S & L ASSN COLU,11942,9733
19880120,STERLING MEDICAL SYSTEMS INC,11943,9655
19880308,STRUCTOFAB INC,11944,9709
19880610,SURETY CAPITAL CORP,11945,9816
19880630,TELE OPTICS INC,11946,9430
20040412,VELOCITY ASSET MANAGEMENT INC,11946,9430
20081117,VELOCITY PORTFOLIO GROUP INC,11946,9430
19880616,THOMASTON MILLS INC,11947,9825
19880616,THOMASTON MILLS INC,11948,9825
19251231,FIRST NATIONAL STORES INC,11949,22317
19721214,ALLIED VAN LINES INC,11950,185
19880524,TIMBERJACK CORP,11951,9793
19880620,TOP AIR MANUFACTURING INC,11952,9829
19880202,TRUVEL CORP,11953,9673
19880518,TWO COUNT HLDG CO,11954,9785
19880603,U S A WASTE SERVICES INC,11955,9804
19980717,WASTE MANAGEMENT INC DEL,11955,9804
19880509,UNICOMP INC,11956,9771
19251231,FISHER BODY CORP,11957,22318
19880304,VANGUARD CELLULAR SYS INC,11958,9706
19880315,VARITRONIC SYSTEMS INC,11959,9716
19880304,VITALINK COMMUNICATIONS CORP,11960,9705
19880210,WEAVER ARMS CORP,11961,9685
19880520,WINE SOCIETY AMERICA INC,11962,9791
19880217,FILMSTAR INC,11963,9684
19880607,EGGHEAD INC,11964,9805
19980226,EGGHEAD COM INC,11964,9805
19251231,FISK RUBR CO,11965,22319
19750317,ALLOY METAL PRODS INC,11966,175
19860402,SIERRA CAPITAL REALTY TR IV CO,11967,8088
19911018,MERIDIAN POINT REALTY TR IV CO,11967,8088
19880928,A D T LTD,11968,9947
20100716,ISHARES TRUST,11969,37493
19880722,AMERICAN POWER CONVERSION CORP,11970,9873
19880711,AMERICAN RICE INC,11971,9853
20100716,ISHARES TRUST,11972,37493
19251231,FOUNDATION CO,11973,22320
19831215,ALLY & GARGANO INC,11974,6716
19880929,ASSOCIATED NATURAL GAS CORP,11975,9950
19880812,B M C SOFTWARE INC,11976,9905
19880715,BABBAGES INC,11977,9859
19880908,BAILEY CORP,11978,9929
20100716,ISHARES TRUST,11979,37493
20100716,ISHARES TRUST,11980,37493
19251231,FREEPORT TEX CO,11981,22321
19361209,FREEPORT SULPHUR CO,11981,22321
19710427,FREEPORT MINERALS CO,11981,22321
19721214,ALLYN & BACON INC,11982,187
19830322,BIOGEN N V,11983,5872
19880701,BIOGEN INC,11983,5872
20100716,ISHARES TRUST,11984,37493
19870508,C I S TECHNOLOGIES INC,11985,9159
20100716,ISHARES TRUST,11986,37493
19880920,CASUAL MALE CORP,11987,9939
20100716,ISHARES TRUST,11988,37493
20100716,ISHARES TRUST,11989,37493
20100715,K K R & CO LP,11990,53463
20180702,K K R & CO INC,11990,53463
19880729,CHARTER FEDERAL SAVINGS BANK NJ,11991,9881
19900918,CHARTER ONE BANCORP INC,11991,9881
19910204,CHARTER FSB BANCORP INC,11991,9881
19880802,CHEMICAL FINANCIAL CORP,11992,9882
20190801,T C F FINANCIAL CORP NEW,11992,9882
20100722,LONGWEI PETROLEUM INVT HLDG LTD,11993,53464
19880706,CLIFFS DRILLING CO,11994,9823
19821101,COCA COLA BOTTLING CO CONS,11995,1035
20190102,COCA COLA CONSOLIDATED INC,11995,1035
20100723,MARKET VECTORS E T F TRUST,11996,50699
20160502,VANECK VECTORS E T F TRUST,11996,50699
20210901,VANECK E T F TRUST,11996,50699
19861224,COMCAST CORP,11997,962
19880712,CONCORD CAMERA CORP,11998,9856
20100729,MOLYCORP INC DE,11999,53465
19821101,CONSOLIDATE CAPITAL INCOME TRUST,12000,798
19890705,NATIONAL INCOME REALTY TRUST,12000,798
19900326,NATIONAL INCOME REALTY TRUST NEW,12000,798
19900420,NATIONAL INCOME REALTY TRUST,12000,798
19251231,GABRIEL SNUBBER MFG CO,12001,22322
19300526,GABRIEL CO,12001,22322
19721214,ALOE CREME LABS INC,12002,172
19820217,ALO SCHERER HEALTHCARE INC,12002,172
19870818,SCHERER HEALTHCARE INC,12002,172
19850909,CONVERSION INDUSTRIES INC,12003,22323
19880923,D F SOUTHEASTERN INC,12004,9944
19850326,DATRON SYSTEMS INC,12005,7475
19880906,DEKALB GENETICS CORP,12006,9922
20100714,OXFORD RESOURCE PARTNERS L P,12007,53466
20150102,WESTMORELAND RESOURCE PTNRS LP,12007,53466
19840531,DYCOM INDUSTRIES INC,12008,7062
20100706,QUAD GRAPHICS INC,12009,53467
19870812,E L X S I CORP,12010,6564
20100716,REALD INC,12011,53468
19880718,EAGLE BANCORP INC DEL,12012,9865
19880712,EASTLAND FINANCIAL CORP,12013,9854
20100702,RENHUANG PHARMACEUTICALS INC,12014,53469
20101122,CHINA BOTANIC PHARMACEUTICAL INC,12014,53469
20100728,TORTOISE M L P FUND INC,12015,53470
20190108,TORTOISE MIDSTREAM ENERGY FD INC,12015,53470
19880802,ENVIRONMENTAL CONTROL GROUP INC,12016,9883
20100727,VRINGO INC,12017,53444
20160509,FORM HOLDINGS CORP,12017,53444
20180108,XPRESSPA GROUP INC,12017,53444
20100702,ASIA ENTERTAINMENT & RESOUR LTD,12018,53472
20131002,IAO KUN GROUP HOLDING CO LTD,12018,53472
20170427,LINIU TECHNOLOGY GROUP,12018,53472
19880823,FRANKLIN FIRST FINANCIAL CORP,12019,9917
19840808,GALACTIC RESOURCES LTD,12020,7171
20100701,AUTONAVI HOLDINGS LIMITED,12021,53473
19880808,GENLYTE GROUP INC,12022,9892
20100720,TIANLI AGRITECH INC,12023,53474
20140729,AOXIN TIANLI GROUP INC,12023,53474
20171113,RENMIN TIANLI GROUP INC,12023,53474
20190412,B I Q I INTERNATIONAL HLDNGS COR,12023,53474
19821101,GISH BIOMEDICAL INC,12024,5605
20100707,PEOPLES FEDERAL BANCSHARES INC,12025,53475
20100716,QLIK TECHNOLOGIES INC,12026,53476
20100715,SMART TECHNOLOGIES INC,12027,53477
19251231,GARDNER MTR INC,12028,22324
19721214,ALODEX CORP,12029,22325
20100708,T H T HEAT TRANSFER TECHNOL INC,12030,53478
19880823,HOME PORT BANCORP INC,12031,9916
20100707,ZOO ENTERTAINMENT INC,12032,53479
19831024,I N V GNMA MTG BACKED SEC TR INC,12033,6421
19860602,I N V G MORTGAGE SECURITIES CORP,12033,6421
20100226,SPROTT PHYSICAL GOLD TRUST,12034,53343
20100825,ALPS E T F TRUST,12035,53005
19251231,GENERAL AMERN TANK CAR CORP,12036,20773
19330412,GENERAL AMERN TRANSN CORP,12036,20773
19750630,G A T X CORP,12036,20773
19721214,ALPEX COMPUTER CORP,12037,177
20100806,AMBOW EDUCATION HOLDING LTD,12038,53480
20100827,BLACKROCK BUILD AMERICA BOND TR,12039,53481
20150825,BLACKROCK TAXABLE MUNI BOND TR,12039,53481
19850826,J G INDUSTRIES INC,12040,7708
19880811,KINDER CARE LRNING CTRS INC NEW,12041,9904
19930401,KINDER CARE LEARNING CENTERS INC,12041,9904
19860103,KIRSCHNER MEDICAL CORP,12042,7949
20100811,CHINA KANGHUI HOLDINGS,12043,53482
19251231,GENERAL CIGAR INC,12044,20542
19760601,CULBRO CORP,12044,20542
19791016,ALPHA SOLARCO INC,12045,364
19831017,LAIDLAW TRANSPORTATION LIMITED,12046,6503
19901210,LAIDLAW INC,12046,6503
20100811,E G A EMERGING GLOBAL SHARES TR,12047,53146
20161019,COLUMBIA E T F TRUST II,12047,53146
19880928,LANDMARK GRAPHICS CORP,12048,9948
20100830,GOLD RESOURCE CORP,12049,53483
19880811,LONG ISLAND CITY FINANCIAL CORP,12050,9901
20100806,INTRALINKS HOLDINGS INC,12051,53484
19260128,ELECTRIC BOAT CO,12052,20791
19520424,GENERAL DYNAMICS CORP,12052,20791
19780630,ALPHANUMERIC INC,12053,158
20100825,MARKET VECTORS E T F TRUST,12054,50699
20160502,VANECK VECTORS E T F TRUST,12054,50699
20210901,VANECK E T F TRUST,12054,50699
19880809,MAYFLOWER FINANCIAL CORP,12055,9894
20100816,NEW ENERGY SYSTEMS GROUP,12056,53485
20100818,RARE ELEMENT RESOURCES LTD,12057,53486
19821101,MULTIMEDIA INC,12058,2959
19851002,MULTIMEDIA INC NEW,12058,2959
20100806,SCHWAB STRATEGIC TRUST,12059,53271
19251231,GENERAL ELECTRIC CO,12060,20792
19721214,ALPHATYPE CORP,12061,182
19880707,NATIONAL HEALTH LABORATORIES INC,12062,9848
19940608,NATIONAL HEALTH LABS HLDGS INC,12062,9848
19950501,LABORATORY CORP AMERICA HLDGS,12062,9848
19880811,NEORX CORP,12063,9902
20060619,PONIARD PHARMACEUTICALS INC,12063,9902
20100806,SCHWAB STRATEGIC TRUST,12064,53271
20100806,SCHWAB STRATEGIC TRUST,12065,53271
20100810,UNITED STATES COMMODITY IND FUND,12066,53487
19880811,NOVELLUS SYSTEMS INC,12067,9903
19840604,OLD NATIONAL BANCORP,12068,7067
19880708,OLYMPIC SAVINGS BANK WA,12069,9851
20100826,WHITESTONE REIT,12070,53488
19880721,PACESETTER HOMES INC,12071,9845
19821101,PARKWAY COMPANY,12072,3589
19960807,PARKWAY PROPERTIES INC,12072,3589
19880706,PEOPLES BANK BRIDGEPORT,12073,9847
20070416,PEOPLES UNITED FINANCIAL INC,12073,9847
19880906,PRIDE PETROLEUM SERVICES INC,12074,9921
19970627,PRIDE INTERNATIONAL INC,12074,9921
20010917,PRIDE INTERNATIONAL INC DEL,12074,9921
20100809,WISDOMTREE TRUST,12075,50852
20080911,SIGNET JEWELERS LTD,12076,9857
20100805,D MEDICAL INDUSTRIES LTD,12077,53489
20100813,ELECTROMED INC,12078,53490
19251231,GENERAL MOTORS CORP,12079,20799
20100805,GORDMANS STORES INC,12080,53491
20100811,MEDIAMIND TECHNOLOGIES INC,12081,53492
20100812,MAKEMYTRIP LIMITED,12082,53493
19860303,SAHLEN & ASSOCIATES INC,12083,7138
20100806,N X P SEMICONDUCTORS N V,12084,53494
20100806,NUPATHE INC,12085,53495
19880809,SMITHFIELD COMPANIES INC,12086,9896
19251231,GENERAL REFRACTORIES CO,12087,22326
20100813,PARK STERLING BANK,12088,53496
20110103,PARK STERLING BANK NEW,12088,53496
20100812,REALPAGE INC,12089,53497
20100803,TRIUS THERAPEUTICS INC,12090,53498
19880812,STOTLER GROUP INC,12091,9906
19860910,STUDENT LOAN MARKETING ASSN,12092,6412
20100923,CORESITE REALTY CORP,12093,53500
19880819,SYNOPTICS COMMUNICATIONS INC,12094,9912
19251231,GENERAL RY SIGNAL CO,12095,20804
19630218,GENERAL SIGNAL CORP,12095,20804
19760824,ALPINE INTERNATIONAL CORP,12096,309
20100928,COUNTRY STYLE CKG RST CHN CO LTD,12097,53501
20100914,E G A EMERGING GLOBAL SHARES TR,12098,53146
20161019,COLUMBIA E T F TRUST II,12098,53146
19880721,TUSCARORA PLASTICS INC,12099,9871
19920720,TUSCARORA INC,12099,9871
19860807,TMK UNITED INC,12100,8401
19880419,UNITED INVESTORS MANAGEMENT CO,12100,8401
20100930,ELSTER GROUP S E,12101,53502
19880815,UNITRONIX CORP,12102,9907
20100928,FIRST TRUST HIGH INC LNG SHRT FD,12103,53503
20100915,HELIX BIOPHARMA CORP,12104,53504
20100902,ISHARES TRUST,12105,37493
19880812,WASHINGTON SAVINGS BANK FSB,12106,9884
20070904,WASHINGTON SAVINGS BANK F S B,12106,9884
20080107,W S B HOLDINGS INC,12106,9884
19870309,WATERFORD GLASS GROUP PLC,12107,8357
19890901,WATERFORD WEDGWOOD PLC,12107,8357
19251231,GENERAL OUTDOOR ADVERTISING INC,12108,22327
20100929,ISHARES TRUST,12109,37493
19881003,ACORN VENTURE CAPITAL CORP,12110,9955
19971106,ACORN HOLDING CORP,12110,9955
19881208,ALCO INTERNATIONAL GROUP INC,12111,10032
19930805,INCOMED CORP,12111,10032
19880809,ALS FORMAL WEAR INC,12112,9893
19881027,AMERICAN DRUG SCREENS INC,12113,9994
19930524,M B F USA INC,12113,9994
19980624,W R P CORP,12113,9994
20040514,A H P C HOLDINGS INC,12113,9994
19880916,AMERICAN FILM TECHNOLOGIES INC,12114,9935
19881019,AMERICAN STEEL & WIRE CORP,12115,9976
19251231,GENERAL PETE CORP,12116,22328
19810618,ALPHA MICROSYSTEMS INC,12117,170
20000911,NQL INC,12117,170
19880715,APOGEE TECHNOLOGY INC,12118,9861
19881004,ARIX CORP,12119,9959
19880803,ASSIX INTERNATIONAL INC,12120,9867
19881107,ATLANTIC EXPRESS INC,12121,9933
19881026,AURA SYSTEMS INC,12122,9989
19880816,AURORA ENVIRONMENTAL INC,12123,9910
19251231,GIMBEL BROS INC,12124,22329
19620702,GIMBEL BROTHERS INC,12124,22329
19811111,ALTA ENERGY CORP,12125,5180
19880928,AUTOMOBILE PROTECTION CORP APCO,12126,9946
19880728,AUTOMOTIVE INDUSTRIES INC,12127,9878
19881114,B H A GROUP INC,12128,8714
19880919,BALLISTIC RECOVERY SYSTEMS INC,12129,9937
19881011,BIOANALOGICS INC,12130,9970
19881215,BLISS & LAUGHLIN INDS INC NEW,12131,10046
19251231,GLIDDEN CO,12132,22330
19721214,ALTA INDUSTRIES INC,12133,22331
19880906,BROADCAST INTERNATIONAL INC,12134,9928
19881221,C B L MEDICAL INC,12135,10055
19880914,CACHE TECHNOLOGIES CORPORATION,12136,9934
19881209,CALIFORNIA STATE BANK COVINA,12137,10035
19880913,CANCER TREATMENT HOLDINGS INC,12138,9932
19880727,CAROLINA SOUTHERN BK SPARTANBURG,12139,9877
19251231,GOODRICH B F CO,12140,20833
20010601,GOODRICH CORP,12140,20833
19721214,ALTAIR CORP,12141,179
19881021,CEDAR INCOME FUND 2 LTD,12142,9982
19881107,CELEREX CORP,12143,10003
19881003,CENTENNIAL BENEFICIAL CORP,12144,9957
19890829,WEST COAST BANCORP CA NEW,12144,9957
19881108,CENTURION MINES CORPORATION,12145,10006
19980204,GRAND CENTRAL SILVER MINES INC,12145,10006
19881125,CHAMPIONS SPORTS INC,12146,10020
20070202,CHAMPIONS BIOTECHNOLOGY INC,12146,10020
20110420,CHAMPIONS ONCOLOGY INC,12146,10020
19880804,CHANNEL AMERICA LPTV HLDGS INC,12147,9886
19881027,CLARK MELVIN SECURITIES CORP,12148,9993
19880728,COLUMBIA LABORATORIES INC,12149,9879
20150413,JUNIPER PHARMACEUTICALS INC,12149,9879
19881110,COMMUNITY BANCORP INC,12150,10010
19880712,COMSOUTH BANKSHARES INC,12151,9855
19881209,CONTINENTAL SAVINGS OF AMERICA,12152,10037
19880726,CREATIVE MEDICAL SYSTEMS INC,12153,9875
19880831,DANIELSON FEDERAL S & L ASSN CT,12154,9924
19880930,DANNINGER MEDICAL TECH INC,12155,9954
19970324,CROSS MEDICAL PROCUCTS INC,12155,9954
19880804,DEFAULT PROOF CR CARD SYS INC,12156,9887
19881108,DIMENSIONAL VISIONS GROUP LTD,12157,10008
19881104,DYNAMIC AMERICAN CORPORATION,12158,10002
19251231,GRANBY CONSOLIDATED MG S & P LTD,12159,22332
19590323,GRANBY MINING LTD,12159,22332
19770127,CARIBBEAN FIN INC,12160,3
19810427,ALTAIR CORP P R,12160,3
19881216,E R C ENVIRONMENTAL & EGY SV INC,12161,10047
19880707,ELECTRONIC ASSEMBLY SERVICES INC,12162,9850
19881214,EQUITY GROWTH CORP,12163,10044
19881013,F F O FINANCIAL GROUP INC,12164,9972
19881214,F M S FINANCIAL CORP,12165,10043
19881103,FIRST EXECUTIVE BANCORP INC PA,12166,9999
19881111,EXECUFIRST BANCORP INC,12166,9999
19960610,FIRST REPUBLIC BANCORP INC NEW,12166,9999
19971112,REPUBLIC FIRST BANCORP INC,12166,9999
19251231,JONES BROTHERS TEA CO,12167,22333
19280614,GRAND UNION CO,12167,22333
19840703,ALTERNACARE CORP,12168,7118
19881219,FIRST FINANCIAL CARIBBEAN CORP,12169,10053
19970923,DORAL FINANCIAL CORP,12169,10053
19880811,FUND ALABAMA INC,12170,9900
19881130,FUTURE MEDICAL PRODUCTS INC,12171,10022
19950515,VASOMEDICAL INC,12171,10022
19881202,G N W FINANCIAL CORP,12172,10027
19880822,GENERAL COMMUNICATION INC,12173,9914
20180222,G C I LIBERTY INC,12173,9914
19881110,GENUS INC,12174,10011
19251231,GREAT NORTHERN IRON ORE PPTYS,12175,20846
19721214,ALTIUS CORP,12176,22334
19880922,GEXA GOLD CORPORATION,12177,9943
20010131,GEXA CORP,12177,9943
19880715,GLASSMASTER COMPANY,12178,9863
19940524,GLASSMASTER CO,12178,9863
19881205,GLOBESAT HOLDING CORP,12179,10023
19881121,GRANT STREET NATIONAL BANK,12180,10018
19881123,GRAYHOUND ELECTRONICS INC,12181,10019
19881222,GREENWOOD BANK OF BETHEL INC,12182,10056
19251231,GREAT NORTHERN RAILWAY CO,12183,22335
19721214,ALTON BOX BRD CO,12184,181
19810225,ALTON PACKAGING CORP,12184,181
19881017,GULF EXPLORATION CONSULTANTS INC,12185,9940
19881021,H Q OFFICE SUPPLIES WHSE INC,12186,9985
19881202,HABEN INDUSTRIES INC,12187,10026
19920430,EMBRACE SYSTEMS CORP,12187,10026
19880808,HEARX LTD,12188,9683
20020708,HEARUSA INC,12188,9683
19881213,HINGHAM INSTITUTION FOR SVGS MA,12189,10039
19881214,HITOX CORP OF AMERICA,12190,10042
20000510,T O R MINERALS INTL INC,12190,10042
19251231,GREAT WESTN SUGAR CO,12191,22336
19821104,ALTOS COMPUTER SYSTEMS,12192,5675
19880715,HOMEOWNERS GROUP INC,12193,9862
19881212,HOMESTEAD MINERALS CORPORATION,12194,10038
19880815,IN HOME HEALTH INC,12195,9909
19880728,INNOVET INC,12196,9880
19881223,INTEGRATED FINANCIAL GROUP INC,12197,10057
19881219,INTERNATIONAL BARRIER CORP,12198,10052
19881025,KEY PRODUCTION INC,12199,9973
19880804,KILE TECHNOLOGY CORPORATION,12200,9888
19881020,KITCHEN BAZAAR INC,12201,9981
19881206,KUSHNER LOCKE CO,12202,10029
19881006,L K A INTERNATIONAL INC,12203,9915
19251231,GREEN BAY & WESTN RR,12204,22337
19840807,ALTRON INC,12205,7167
19880923,LEGAL SOFTWARE SOLUTIONS INC,12206,9945
19881021,LEP GROUP PLC,12207,9953
19881108,LEROY PHARMACIES INC,12208,10007
19900820,ACCUHEALTH INC,12208,10007
19881229,LIFEWAY FOODS INC,12209,10059
19881011,LIFELINE HEALTHCARE GROUP LTD,12210,9969
19881012,LINDSAY MANUFACTURING CO,12211,9971
20061211,LINDSAY CORP,12211,9971
19251231,GUANTANAMO SUGAR CO,12212,22338
19800124,AMACAN RESOURCES CORP,12213,205
19881102,LOGIC DEVICES INC,12214,9998
19881223,MALLON RESOURCES CORP,12215,10058
19960910,MALLON RESOURCES CORP NEW,12215,10058
19880815,MARINER CORP,12216,9866
19890802,BOCA RATON CAPITAL CORP,12216,9866
19880928,MEASUREMENT SPECIALTIES INC,12217,8268
19881020,MEDI MAIL INC,12218,9979
19950703,MEDNET MPC CORP,12218,9979
20100929,ISHARES TRUST,12219,37493
19251231,GULF MOBILE & NORTHN RR CO,12220,22339
19400917,GULF MOBILE & OHIO RR CO,12220,22339
19780413,AMARCO RESOURCES CORP,12221,193
19880404,BESTWAY RENT INC,12221,193
19951219,BESTWAY INC,12221,193
19880816,MEGA GROUP INC,12222,9911
19881018,METCALF & EDDY COMPANIES INC,12223,9975
19881104,METRO BANCSHARES INC,12224,10001
19920921,METRO BANCSHARES,12224,10001
19881005,MICROAMERICA INC,12225,9962
19881020,MIDWEST GRAIN PRODUCTS INC,12226,9977
20021011,M G P INGREDIENTS INC,12226,9977
19881216,MISSOURI RIVER SERVICES INC,12227,10049
19880831,MONTANA NATURALS INTL INC,12228,9923
19880713,MOTHER LODE GOLD MINES CONS,12229,9858
19881206,NY COM INC,12230,10028
19890221,NYCOM INFORMATION SVCS INC,12230,10028
19920806,AMNEX INC,12230,10028
19881020,NEOTERIK HEALTH TECHNOLOGIES INC,12231,9980
19880720,NEW ENGLAND BANCORP INC,12232,9869
19880803,NEW PARAHO CORPORATION,12233,9885
19880822,NORTH AMERICAN BANCORP INC DE,12234,9913
19880901,NOVAFERON LABS INC,12235,9926
19881103,NOVEN PHARMACEUTICALS INC,12236,10000
19881125,NU WEST INDUSTRIES INC,12237,9986
19881208,OFFICE CLUB INC,12238,10034
19251231,GULF STS STL CO,12239,22340
19721214,AMAREX INC,12240,242
19881021,OPTICORP INC,12241,9984
19881004,PANELGRAPHIC CORPORATION,12242,9960
19881028,PARTECH HOLDINGS CORP,12243,9995
19950808,TROPIC COMMUNICATIONS INC,12243,9995
19881216,PHARMETICS INC,12244,10050
19880808,POWEREC INTERNATIONAL INC,12245,9891
19881114,PRIME BANCORP INC,12246,10013
19270920,HANOVER NATIONAL BANK,12247,22341
19880810,PROVIDENCE AND WORCESTER RR CO,12248,9898
19970305,PROVIDENCE & WORCESTER RR CO,12248,9898
19881011,PROVIDENT LIFE & ACC INS CO AMER,12249,3430
19881214,RAMTRON AUSTRALIA LTD,12250,10041
19900927,RAMTRON HOLDINGS LTD,12250,10041
19880919,S A Y PACKAGING INC,12251,9927
19880824,S 2 GOLF INC,12252,9918
20010619,WOMENS GOLF UNLIMITED INC,12252,9918
19881215,SCHULTZ SAV O STORES INC,12253,10045
20010604,FRESH BRANDS INC,12253,10045
19880706,SCHWARTZ BROTHERS INC,12254,4333
19251231,HARTMAN CORP,12255,22342
19721214,AMBASSADOR GROUP INC,12256,195
19881213,SHARED TECHNOLOGIES INC,12257,10040
19960314,SHARED TECHS FAIRCHILD INC,12257,10040
19881003,SHIRT SHED INC,12258,9956
19881006,SIERRA ON LINE INC,12259,9965
19881020,SOFTSEL COMPUTER PRODUCTS INC,12260,9978
19900823,MERISEL INC,12260,9978
20010214,MERISEL INC NEW,12260,9978
20010313,MERISEL INC,12260,9978
19881017,SOFTWARE TOOLWORKS INC,12261,9942
19881007,SUNSTYLE CORP,12262,9967
19251231,HAYES WHEEL CO,12263,22343
19790213,AMBER RESOURCES CO,12264,198
19881021,TAUNTON TECHNOLOGIES INC,12265,9983
19901128,V I S X INC DE,12265,9983
19910211,V I S X INC,12265,9983
19880811,TECHNICLONE INTERNATIONAL CORP,12266,9899
19970408,TECHNICLONE CORP,12266,9899
20001107,PEREGRINE PHARMACEUTICALS INC,12266,9899
20180108,AVID BIOSERVICES INC,12266,9899
19881111,TECHNOLOGY GENERAL CORPORATION,12267,10012
19881207,TERMINAL APPLICATIONS GROUP INC,12268,10031
19881107,TOMKINS PLC,12269,10004
19881004,TOPOLOGIX INC,12270,9961
19251231,HELME G W CO,12271,22344
19640413,HELME PRODUCTS INC,12271,22344
19800717,AMBRA OIL & GAS CO,12272,292
19880720,TRI R SYSTEMS CORP,12273,9870
19880712,UNITED BUYING SVC INTL INC,12274,9719
19881101,V M S STRATEGIC LAND FUND II,12275,9997
19910624,BANYAN STRATEGIC LAND FUND II,12275,9997
19971113,SEMELE GROUP INC,12275,9997
19881027,V S B BANCORP INC,12276,9991
19881115,VECTOR AEROMOTIVE CORP,12277,10015
19880810,VESPER CORP,12278,9897
19881123,VIDEO COMMUNICATION & RADIO INC,12279,9987
19930720,FIRST ENTERTAINMENT INC,12279,9987
19980122,FIRST ENTERTAINMENT HOLDING CORP,12279,9987
19881010,VIDEO SUPERSTORES AMERICA INC,12280,9968
19881013,WAINWRIGHT BANK & TRUST CO BOSTN,12281,9974
19880912,WAMPLER-LONGACRE-ROCKINGHAM INC,12282,9931
19881102,W L R FOODS INC,12282,9931
19881005,WASATCH EDUCATION SYSTEMS CORP,12283,9963
19880920,WEITEK CORP,12284,9938
19881208,WELLINGTON LEISURE PRODUCTS INC,12285,10033
19880901,WILSON DOUG STUDIOS INC,12286,9475
20100929,ISHARES TRUST,12287,37493
20100928,NUVEEN DIVERSIFIED COMMODITY FD,12288,53505
20100921,PIMCO E T F TRUST,12289,53171
20100921,PIMCO E T F TRUST,12290,53171
20100930,RHINO RESOURCE PARTNERS L P,12291,53506
20100914,SPDR INDEX SHARES FUNDS,12292,43629
20100917,SOUFUN HOLDINGS LTD,12293,53507
20160923,FANG HOLDINGS LTD,12293,53507
20100909,VANGUARD ADMIRAL FUNDS INC,12294,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12295,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12296,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12297,53508
19260128,OMNIBUS CORP,12298,22345
19541119,HERTZ CORP,12298,22345
19830831,AMBULATORY MEDICAL CARE INC,12299,6350
19251231,SAVAGE ARMS CORP OLD,12300,22346
19601230,HILL CORP,12300,22346
20100909,VANGUARD ADMIRAL FUNDS INC,12301,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12302,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12303,53508
20100909,VANGUARD ADMIRAL FUNDS INC,12304,53508
20100909,VANGUARD INDEX FUNDS,12305,41593
20100924,WISDOMTREE TRUST,12306,50852
20100928,AMYRIS INC,12307,53510
20100914,CHARTER COMMUNICATIONS INC,12308,17322
20160518,CHARTER COMMUNICATIONS INC NEW,12308,17322
20100901,FULL CIRCLE CAPITAL CORP,12309,53511
20100913,CHINA H G S REAL ESTATE INC,12310,53512
20220323,GREEN GIANT INC,12310,53512
20100915,KEYUAN PETROCHEMICALS INC,12311,53513
20100924,SCIQUEST INC NEW,12312,53514
20100922,VANGUARD SCOTTSDALE FUNDS,12313,53292
20100922,VANGUARD SCOTTSDALE FUNDS,12314,53292
20100922,VANGUARD SCOTTSDALE FUNDS,12315,53292
20100922,VANGUARD SCOTTSDALE FUNDS,12316,53292
20100922,VANGUARD SCOTTSDALE FUNDS,12317,53292
20100922,VANGUARD SCOTTSDALE FUNDS,12318,53292
19251231,HOMESTAKE MINING CO,12319,20926
19721214,DAYTON MALLEABLE INC,12320,1336
19831215,AMCAST INDUSTRIAL CORP,12320,1336
20100922,VANGUARD SCOTTSDALE FUNDS,12321,53292
20101026,ADVISORSHARES TRUST,12322,53202
20101014,CAMPUS CREST COMMUNITIES INC,12323,53515
20101001,CHINA MING YANG WIND PWR GRP LTD,12324,53516
20101007,DAQO NEW ENERGY CORP,12325,53518
20101022,ETFS PRECIOUS METALS BASKET TR,12326,53519
20181001,ABERDEEN STD PREC MET BSK ETF TR,12326,53519
20220331,ABRDN PRECIOUS MTLS BSKT ETF TR,12326,53519
19251231,HOUSEHOLD PRODS INC,12327,22347
19751230,AMCO ENERGY CORP,12328,224
19780706,AMCOLE ENERGY CORP,12328,224
20101008,ELLINGTON FINANCIAL L L C,12329,53520
20190304,ELLINGTON FINANCIAL INC,12329,53520
20101028,EXAMWORKS GROUP INC,12330,53521
20101027,GUGGENHEIM BLD AM BDS MGD DUR TR,12331,53522
20160725,GUGGENHEIM TAXABLE MUN MGD DUR T,12331,53522
20201119,GUGGENHEIM TAX MUN BD & I G DB T,12331,53522
20101025,HUDBAY MINERALS INC,12332,53523
20101028,MARKET VECTORS E T F TRUST,12333,50699
20160502,VANECK VECTORS E T F TRUST,12333,50699
20210901,VANECK E T F TRUST,12333,50699
20101014,MARKET VECTORS E T F TRUST,12334,50699
20160502,VANECK VECTORS E T F TRUST,12334,50699
20210901,VANECK E T F TRUST,12334,50699
19251231,HOUSTON OIL CO TEX,12335,22348
19721226,DATA DISC INC,12336,204
19760604,AMCOMP INC,12336,204
20101019,SHANGPHARMA CORP,12337,53525
20101029,SPROTT PHYSICAL SILVER TRUST,12338,53526
20101020,T A L EDUCATION GROUP,12339,53527
20101015,TOWER INTERNATIONAL INC,12340,53528
